# id, p_deg, t_deg, camPosX, camPosY, camPosZ, camEulerX_deg, camEulerY_deg, camEulerZ_deg
55, -19.889650, 11.325620, 0.000249, 1.118328, -0.312407, 349.362900, 0.060710, 359.971800
56, -27.984490, -4.799938, 0.006974, 1.080217, -0.315418, 358.268300, 1.702353, 359.991400
57, 8.505215, 2.684510, 0.001675, 1.076876, -0.301884, 359.170500, 0.386548, 0.001286
58, -27.999950, 1.486007, 0.010349, 1.079712, -0.305204, 358.532200, 2.419950, 359.991700
59, -27.216680, -4.799971, 0.018408, 1.060021, -0.306887, 3.135329, 4.328122, 0.002210
60, 27.468160, 9.763869, 0.011301, 1.091856, -0.298802, 355.644500, 2.574796, 0.002514
61, -27.870620, 12.592860, 0.016744, 1.121532, -0.313134, 348.585000, 4.042143, 359.976900
62, 27.999870, 13.190650, 0.005871, 1.128497, -0.316879, 346.885300, 1.440521, 0.066074
63, 3.856584, -4.140388, 0.001978, 1.087545, -0.317873, 356.433800, 0.487511, 0.013416
64, -27.665660, -3.651502, 0.007913, 1.059181, -0.304167, 3.274201, 1.842892, 0.001701
65, 2.025293, 9.389094, 0.005106, 1.092332, -0.299133, 355.518200, 1.165426, 0.004754
66, -27.988070, -4.772415, 0.011586, 1.070540, -0.311217, 0.662807, 2.776720, -0.002770
67, -23.400210, 13.199180, 0.018629, 1.099742, -0.298993, 353.785500, 4.242762, -0.004214
68, 24.170790, 13.137770, 0.010706, 1.126040, -0.315030, 347.495500, 2.606804, 0.030929
69, 27.906360, -4.453530, 0.003646, 1.086959, -0.317839, 356.646100, 0.898980, 0.010428
70, -22.617020, 13.196030, 0.011007, 1.106026, -0.301656, 352.261000, 2.536897, 359.989900
71, -27.480300, 13.200000, 0.017284, 1.126778, -0.315802, 347.300700, 4.219704, 359.964500
72, -15.623920, -4.631459, 0.022148, 1.087037, -0.318991, 356.593500, 5.474521, 359.983100
73, -8.595232, 6.733742, 0.025959, 1.090674, -0.304048, 355.907600, 6.022550, 359.993900
74, 27.656960, 13.200000, 0.017476, 1.120010, -0.311030, 348.934100, 4.180226, 0.020523
75, -27.812250, -2.898961, 0.023034, 1.086555, -0.316819, 356.882400, 5.639228, 359.989300
76, -16.878220, -4.800000, 0.028997, 1.056031, -0.306179, 4.067270, 6.779158, 0.004845
77, 27.999990, -4.800000, 0.017435, 1.051099, -0.302954, 5.215933, 4.035931, 359.971000
78, 17.756070, 4.569836, 0.009801, 1.079834, -0.300437, 358.517600, 2.248159, -0.003275
79, 27.994820, 9.954487, 0.002349, 1.108614, -0.308302, 351.707000, 0.556115, 0.015329
80, -27.895610, -3.684797, 0.008659, 1.077404, -0.312946, 359.057500, 2.091115, 359.993600
81, -21.349780, -3.601891, 0.012957, 1.060245, -0.304875, 3.090980, 3.024354, 0.003724
82, 5.971395, 8.498845, 0.008243, 1.091285, -0.300147, 355.795200, 1.888731, 0.003390
83, -28.000000, -2.694899, 0.014784, 1.074492, -0.310001, 359.756700, 3.523475, -0.004505
84, 7.937508, 8.472293, 0.010257, 1.095200, -0.302453, 354.881000, 2.371376, 0.006528
85, -28.000000, -4.783010, 0.016200, 1.069720, -0.311129, 0.862408, 3.878111, -0.002736
